Anime_Id,Anime_Title,Anime_Synopsis,Anime_Genre
8645,Kitte no Nai Okurimono,This catchy Minna no Uta tune is sung by Kazuo Zaitsu with animation done by Taku Furukawa.,"Music, Kids"
2740,Monkey Turn,"Based on Kawai Katsutoshi's manga of the same name, published in Weekly Shounen Sunday, Monkey Turn is a sports anime based around professional speed boat racing. The anime's protagonist, Tadano Kenji, is too short to follow his dream of becoming a professional baseball player, but his baseball coach recommends him to boat racing. One day Tadano-san unexpectedly meets his old girlfriend and they exchange promises: in return for her being faithful to him, he is charged with becoming Japan's best racer within three years. The eponymous ""Monkey Turn"" is a boat maneuver Kenji-san thought up while visiting his girlfriend. The Monkey Turn gives Kenji quite the advantage over other boaters, but is it enough for him become the best? 
 
(Source: AniDB)","Action, Sports, Drama, Shounen"
6731,Ultraman Kids no Kotowaza Monogatari,Educational anime based on the popular Ultraman giant fighters.,"Comedy, Kids, Super Power"
39214,Asa wo Kitan,A music video for the song  Asa wo Kitan  by Shounen Shoujo Gasshoudan Mizuumi that was featured on NHK's Minna no Uta program.,"Music, Slice of Life, Kids"
27911,Anime de Wakaru Shinryounaika,"The psychologist Ryou and his cheerful nurse Asuna explain many aspects of mental illness to the reader. They cover topics such as the validity, prevalence, and origins of mental disorders, in addition to addressing specific disorders. The information is imparted in a cheerful and comic manner, with various jokes, puns, and pop culture references. 
 
(Source: MU)","Comedy, Seinen"
17219,Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu,14th Anpanman movie.,"Kids, Fantasy, Comedy"
39697,Mameshiba x Tunes!,A collaboration between  Mameshiba  and the Japanese tokusatsu television series  Idol × Warrior Miracle Tunes! . The televised commercial starts with Edamame Shiba trying to do his trivia skit when he's interrupted by the shiba-ified cast of  Idol × Warrior Miracle Tunes! . They promote their show and ask viewers to watch it every Sunday at 10:30AM. Collaborative goods were also sold for a limited time.,"Magic, Parody, Shoujo"
3462,Minky Momo in Yume ni Kakeru Hashi,"A bridge's legend tells that when two people meet on it, they will surely meet again. Momo meets a boy who doesn't believe the legend, and promises that she will meet him again to prove it. As the year passes, she comes every day to wait for him, and becomes a small part of many people's lives. 
 
(Source: ANN)","Drama, Shoujo, Slice of Life"
6271,Gendai Kibunroku Kaii Monogatari,"The horrid stories that remain in many conversations, the chilling urban legends come to life thanks to the Ga-nime. 
  
The terrible anecdote of an old fridge thrown by a dried up river bed in “Refrigerator”. 
 The grotesque encounter with an out of place sculpture standing on top of a building in “The Dharma Statue”. 
 The ghost encounter experience by a boy on a long bridge at night in “The Night Bridge”  
A purchase at the flea market that brings a man to an ironic end in “US Army Surplus” 
 The enigma of continuous deadly accidents near a railroad in “The Railroad Crossing”  
The mysterious experience of a boy on summer vacation in a peaceful countryside in “I Want Friends”.  
 
6 pieces of horror put on 1 film. The Japanese urban legends, put on screen in the characteristic drawing of KIMURA Toshiyuki, whose fame reaches outside the borders of Japan, call for a scream, with the talented collaboration for the ending theme of an artist produced by SUDOH Akira, Leilani.  
 
(Source: Toei-anim.co.jp)",Horror
37127,Saimin☆Gakuen,,Hentai
21469,Stand By Me Doraemon,"Nobita Nobi is an elementary student who hates studying, is bad at sports, and does everything half-heartedly. He is a pushover, unlucky, and fearful of many things. His personality makes him a failure in life, even affecting his progeny. This causes his great-great-grandchild, Sewashi, to take control of the situation. 
 
Sewashi travels back in time from the 22nd century to the 20th century to meet Nobita, who is shocked to see him appear out of his drawer alongside a blue robotic cat. The robotic cat calls himself Doraemon, who claims to have been pressured by Sewashi to assist Nobita, with their ultimate goal being to provide Nobita happiness. Frustrated after seeing Nobita's hopeless state, Doraemon decides to go back to the future. However, Sewashi activates a program within Doraemon that prevents him from doing so.  
 
Forced to stay, Doraemon helps Nobita using futuristic gadgets through his four-dimensional pocket—a bag containing anything inside it. Can Doraemon bring Nobita happiness and return to the future? 
 
[Written by MAL Rewrite]","Comedy, Kids, Sci-Fi, Shounen"
39764,Detective Conan Movie 24: Hiiro no Dangan,24th  Detective Conan  Movie.,"Action, Comedy, Drama, Mystery, Police, Shounen"
12807,Wonder-kun no Hatsu Yume Uchuu Ryokou,"This is the story of a friendship between a boy named Taro and the mysterious Wonder-kun, using ""the first dream of the New Year"" as a motif. Guided by Wonder-kun, Taro departs on a space trip searching for adventure. 
 
This work combines live-action and animation and was broadcast by NHK for kids staying at home watching TV over the New Year holidays. The program was 20 minutes long but the story portion was roughly 11 minutes, as such MAL will reflect the duration of the anime itself rather than the program it was shown in. 
 
(Source: Official Site)",Adventure
2471,Doraemon (1979),"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. 
 
To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? 
 
[Written by MAL Rewrite]","Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen"
2626,The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,,Fantasy
1531,Shakugan no Shana SP: Koi to Onsen no Kougai Gakushuu!,"Yuji and Shana's class go on a trip to see various temples and shrines, followed by a trip to a hot springs resort. During the trip, Matake Ogata tries to tell Eita Tanaka her feelings for him, but various complications and hijinks occur that prevent her from doing so. ","Comedy, Ecchi, Fantasy, Romance, Slice of Life"
1664,Babel Nisei (2001),"Life seems simple for Kouichi, a young student, until he learns that he is the reincarnation of an alien protector who crashed onto the mantle of responsibility as ""defender of the Earth,"" Kouichi/Babel teams up with a trio of super-powered alien companions to battle the the dark forces of an evil cult leader. The war to save humanity takes Babel from the deserts of southern Asia to the upper east side of Manhattan and ultimately to a final showdown with ""the master"" in a hidden base nestled in the Swiss Alps. The action is fast-paced and deadly. The fate of the world rests in the ability of this courageous youth to tame his latent psychic power and use it to defeat the enemies of mankind. 
 
(Source: AnimeNfo)","Action, Adventure, Supernatural, Mystery, Sci-Fi, Shounen"
2520,Dragon Ball Specials,"Specials included with the original series. 
 
 Goku no Koutsuuanzen  (Goku's Traffic Safety) 
Goku is heading to West City to attend Bulma's birthday party, and on the way he ends up learning the rules for getting through traffic. The movie was for children to watch so it would teach them how to get across a pedestrian crossing. 
 
 Goku no Shouboutai  (Goku's Fire Brigade) 
An episode for kids where Goku and the others work for the Fire brigade and explain how avoid problems with fire.","Fantasy, Comedy, Super Power, Shounen"
37920,Ueno-san wa Bukiyou,"As the head of her middle school's science club, it's only fitting that Ueno is also a brilliant inventor. With devices that can convert any liquid into drinkable water, deodorize the most foul smells, or even generate dark matter to be used as a means of concealment, it seems like nothing is beyond Ueno's capabilities. However, she doesn't invent these devices for the advancement of mankind. Rather, the one force that motivates her is love, the only phenomenon she can't quite figure out. 
 
Ueno is head over heels for Tanaka, her nonchalant fellow club member. Yet, because she is too nervous to confess her love and he is too oblivious to notice her affection, her love life is completely stagnant. In Ueno's mind, if she could just expose him to perverted situations, then surely he'd get flustered and fall for her, right? Assisted by her stone-faced classmate and dedicated wingwoman Yamashita, Ueno employs her many inventions on Tanaka in a lewd manner in hopes that he may one day understand how she feels. 
 
[Written by MAL Rewrite] 
","Comedy, Romance, Seinen"
25491,Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World,"The third ""Megumi to Taiyou"" CM for Meiji's Kajuu Gummi candies.",Fantasy
26287,Tomoko-chan to Watashi,"A film meant to show how to deal with ""lively"" children in the classroom.  
 
While not outwardly stated, Tomoko-chan may have some form of ADD or mild autism or both as most kids her age are lively but Tomoko-chan is more wound up than regular children.","Comedy, Kids, School"
25623,Rouge: Lady's Comic Video,"Bereaved strangers lose themselves in a sordid double life of prostitution but find love with each other. A loveless marriage blossoms through bondage. A trainee gets more than she bargained for when the head nurse takes the biology lesson to the limit. And a male beautician uses unorthodox methods to put color in a makeup artist's cheeks. Four erotically charged tales animated for a female audience, based on stories originally printed in the manga magazine Rouge. 
 
(Source: The Anime Encyclopedia)","Drama, Josei, Romance"
33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"Due to a mysterious disease, the genius Iria Akagami has been forced by her family to stay in a mansion on the isolated Wet Crow's Feather Island with only a handful of maids. To keep herself entertained, Iria invites a variety of fellow geniuses to stay as guests in her home, including computer savant Tomo Kunagisa and her unnamed assistant, skilled fortune-teller Maki Himena, famous artist Kanami Ibuki, academic scholar Akane Sonoyama, and renowned cook Yayoi Sashirono. 
 
These visits progress as normal until one of the guests is found gruesomely murdered in the night without a single clue as to the identity of the killer or a possible motive. Tensions rise between those on the island as the killer remains at large, and Tomo's assistant takes it upon himself to uncover the culprit's identity before the murderous events progress any further. 
 
[Written by MAL Rewrite]","Action, Mystery, Supernatural, Drama"
31583,Haruko no Bouken,Short film by Kurosaka Keita.,Dementia
14289,Sukitte Ii na yo.,"Friends will only let you down—that is the sad truth Mei Tachibana lives with, ever since she was wrongfully blamed for the death of a class pet by her so-called friends in grade school. Since then, she stays away from people in order to avoid ever being hurt again. However, Mei's life begins to change drastically when a misunderstanding in high school causes her to encounter popular student Yamato Kurosawa. 
 
Yamato finds her intriguing and insists on being her friend, even though Mei wants nothing to do with him. But when a dangerous situation ends with Yamato kissing Mei to save her from the unwanted attention of a stalker, Mei begins to develop feelings for him. On the heels of her discovery that their feelings are mutual, they start dating and she gains not only a boyfriend, but friends as well. Mei, however, finds it very hard to adapt to this new lifestyle, especially in expressing her true feelings towards Yamato. 
 
Throughout misunderstandings of their new relationship, each other, and the attentions of other girls, Mei and Yamato slowly grow closer and learn the true meaning of those three little words: ""I love you."" 
 
[Written by MAL Rewrite]","Drama, Romance, School, Shoujo"
4071,Black Jack (TV): Hizouban Specials,"This was originally from the Black Jack (2004), but weren't aired then, only later. There are two episodes in this: 
 The Dog Thief 
 Kamaitachi in the Woodlands",Adventure
35364,Kkoma Sinseon Tao,"This Korean and Chinese co-production series focuses on Tao, a young boy with magical powers, as he attends school to become a wizard. Each episode was composed of two stories. 
 
(Source: Wiki)","Kids, Magic"
18055,Hakkenden: Touhou Hakken Ibun 2nd Season,Second season of Hakkenden: Touhou Hakken Ibun.,"Action, Demons, Supernatural, Fantasy, Shoujo"
37352,Quote,"Three official music videos for  Red ,  Cambell , and  Amador  on Suda Keina's ""Quote"" album that was released on January 31, 2018. Avogado6 animated them and they were released on Suda Keina's official YouTube channel as well as airing on Space Shower TV under U&R Records' label.",Music
31866,Last Exile: Ginyoku no Fam Movie - Over the Wishes,"A recap film with some new scenes. 
 
The Sky Pirate Fam and Millia (the princess who Fam rescued as her Turan Kingdom faced devastation) wage a battle against the Ades Federation that reduced Turan to ashes, and aim to establish a revived Turan Kingdom. 
 
(Source: ANN) 
","Action, Adventure, Sci-Fi"
4051,Net Ghost Pipopa,About a young boy named Akigawa Yuta who gets sucked into a virtual world through his cell phone. He meets three strange creatures that travel with him on Yuta's adventure in this strange new world.,"Action, Adventure, Comedy, Kids, Sci-Fi, Shounen"
35933,Aoshima Megu,"Megu promotes not only Shima, but also the greater Ise-Shima region consisting of Ise, Toba, Shima, and parts of Minami-Ise. The aspiring pearl diver struggles to hold onto an Ise-ebi (Japanese spiny lobster), one of Mie Prefecture's specialties. Megu then visits Ise Grand Shrine, which is the one of the most important shrines in Japan's Shinto religion. She then heads to the nearby Okage-yokochou area of shops and historical buildings and to the Meoto Iwa (Married Couple Rocks) that are sacred in Shinto. The ninja character Mai Igarashi makes an appearance at the end of the video. Mai is the mascot for Iga, Mie, a city known as a birthplace of ninja culture.  
 
(Source: ANN)",Adventure
32869,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,"First of three compilation films of the  Kuroko no Basket  franchise. 
 
The first match of Seirin vs Touou Gakuen at the Winter Cup. Seirin swore they would get revenge from the Inter-High, but Aomine's talents grew even stronger and Kuroko's new move is seen through. After having all of his efforts denied by his former light, Aomine, Kuroko is benched and faces humiliation. Seeing his partner like this, something almost beast-like awakens within Kagami, and he challenges Aomine. Aomine had lost almost all sense of fighting, until he and Kagami both intensely face off with each other as they go into the Zone. 
 
(Source: Crunchyroll)","Sports, School, Shounen"
5158,Noisy Birth,"A music video from Yoshiura Yasuhiro, done in year 2000. Music is done by Shibata Yuki.","Dementia, Music"
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal. 
 
Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone. 
 
[Written by MAL Rewrite]","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
23971,Fuku-chan no Zousan Butai,"The second film of the Fuku-chan triology. Based on a popular newspaper comic strip at the time, Fuku-chan was re-invented for propaganda use. In this one Fuku-chan tries to rally up the fighting spirit of the troops.","Comedy, Historical"
32615,Youjo Senki,"Tanya Degurechaff is a young soldier infamous for predatorial-like ruthlessness and an uncanny, tactical aptitude, earning her the nickname of the ""Devil of the Rhine."" Underneath her innocuous appearance, however, lies the soul of a man who challenged Being X, the self-proclaimed God, to a battle of wits—which resulted in him being reincarnated as a little girl into a world of magical warfare. Hellbent on defiance, Tanya resolves to ascend the ranks of her country's military as it slowly plunges into world war, with only Being X proving to be the strongest obstacle in recreating the peaceful life she once knew. But her perceptive actions and combat initiative have an unintended side effect: propelling the mighty Empire into becoming one of the most powerful nations in mankind's history. 
 
[Written by MAL Rewrite]","Action, Military, Magic"
32253,Ama Gli Animali,A clay animation film by Yusaki Fusako.,Kids
31846,Puzzle & Dragons CM,"Studio Colorido has created a short, animated commercial for the GungHo Online Entertainment's popular mobile game, Puzzles & Dragons. 
 
(Source: Crunchyroll)","Game, School"
3784,Evangelion: 2.0 You Can (Not) Advance,"When the threat of the Angel menace escalates, mankind's defense force is pushed to its limits, with Nerv at the forefront of the struggle. Shinji Ikari and his partner Rei Ayanami are assisted by two new pilots: the fiery Asuka Langley Shikinami and the mysterious Mari Illustrious Makinami. 
 
With the aid of their mechanized Evangelion units, equipped with weapons perfect for engaging their monstrous opponents, the four young souls fight desperately to protect their loved ones and prevent an impending apocalypse. But when startling secrets are brought to light, will the heroes' greatest challenge prove to be the monsters...or humanity itself? 
 
[Written by MAL Rewrite]","Action, Sci-Fi, Mecha"
34102,Sakurada Reset,"Kei Asai lives in the oceanside city of Sakurada—a town where the inhabitants are born with strange abilities. On the school rooftop one day, he meets Misora Haruki, an apathetic girl with the power to reset anything around her up to three days prior. While no one knows when she has reset, not even Haruki, Kei can retain everything before the reset thanks to his own ability: photographic memory. After they successfully help someone by combining their powers, they join the Service Club to aid others in their town. 
 
However, their club becomes involved with and begins completing missions for the mysterious Administration Bureau—an organization that focuses on managing the abilities in Sakurada and manipulating the town's events for their own ends. They may find out that there are more things at work in Sakurada than the machinations of the uncanny organization. 
 
[Written by MAL Rewrite]","Mystery, Super Power, Supernatural, School"
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"Hope's Peak Academy is an elite high school that accepts only the most talented students. Individuals who successfully enroll receive their own unique titles, suitably reflective of their skills and traits. Of the fifteen candidates admitted to the peculiar school that year, Makoto Naegi is a completely ordinary individual who has been accepted by sheer chance, with the title of ""Super High School-Level Luck."" 
 
Naegi and his fellow classmates are initially ecstatic to be chosen to study at this prestigious institution, but these feelings of happiness are short-lived. They are soon confronted by Monokuma, the principal and resident bear, who traps them inside the school. The pupils' hopes of escape and graduation hinge on one of them successfully murdering one of their peers without being discovered. However, if the killer is caught, he or she will be executed, and the remaining survivors will be left to continue the deathmatch until only a single victor remains. 
 
[Written by MAL Rewrite]","Mystery, Psychological, School"
32254,Ijigen Gattai Mojibakeru Z,A promotional anime for the Ijigen Gattai Mojibakeru Z toy line from Bandai.,"Game, Kids"
40377,Robot Atom,"Astro Boy is a 5 year old robot boy, learning about the world around him from his robot parents, his mentor Dr. O'Shay, and his older human friends. He is an upbeat and positive child, but his abilities are envied by the mansion-dwelling criminal Hamegg. Hamegg enlists the help of his friends, the scientist Dr. Flau and the purple gorilla Gora, in schemes to outsmart, outdo, or even impress Astro and friends. In the end, Astro either succeeds against Hamegg or winds up working together with him.  
 
(Source: astroboy.fandom.com)","Kids, Mecha, Sci-Fi"
39549,Clone,"Music video directed by Yuutarou Kubo for the song  Clone  by Japanese rock band the HIATUS in their album ""Hands of Gravity.""",Music
36294,Kana Kana ka na,"An official ""Minna no Uta"" music video for Saori Yuki's song  Kana Kana ka na .","Music, Kids"
71,Full Metal Panic!,"Equipped with cutting-edge weaponry and specialized troops, a private military organization named Mithril strives to extinguish the world's terrorism and all threats to peace on earth. The organization is powered by the ""Whispered,"" individuals who possess intuitive knowledge and the remarkable ability to create powerful devices and machinery. 
 
Seventeen-year-old Sousuke Sagara, a sergeant working for Mithril, has been assigned to protect Kaname Chidori, a Whispered candidate. He is ordered to join her high school class and be as close to her as possible to prevent her from falling into enemy hands—that is, if he can safely blend in with their fellow classmates without revealing his true identity. 
 
Sousuke, who was raised on a battlefield and has very little knowledge of an average high school student's lifestyle, must adapt to a normal school life to safeguard Kaname. However, enemy forces have already begun making their move, and Sousuke is about to find out that the adversary coming for the Whispered girl may be a lot more familiar than he expects. 
 
[Written by MAL Rewrite]","Action, Military, Sci-Fi, Comedy, Mecha"
11103,Busou Shinki Moon Angel,"The story follows the coming of age and Shinki battles of Tsubasa, a boy who dreams of becoming a Shinki Master, and his Shinki partner Arnval Mk. 2. 
 
(Source: ANN)","Action, Sci-Fi"
18231,Vanquished Queens Specials,Specials included on the Vanquished Queens Blu-rays/DVDs.,Ecchi
39936,Nezha Chuan Qi,"The Legend of Nezha narrative The story of Natra, the heavenly boy who was born bare, very mischievous, but the temperament, the mentality of goodness, always towards the righteous. With powerful martial arts and magic, he tried to save the evil to bring peaceful life for people in the time of raging love. 
",Adventure
17513,Diabolik Lovers,"At the behest of her father, Yui Komori goes to live in a secluded mansion, home to the six Sakamaki brothers—Shuu, Reiji, Ayato, Kanato, Laito, and Subaru—a family of vampires. Though at first the siblings are confused as to why the girl has arrived, they soon realize that she is to be their new ""sacrificial bride,"" not to mention their other, more carnal intentions for her. After meeting the brothers, Yui quickly begins to question why her father would have sent her here and why she feels a strange, new pain in her chest. With each brother more sadistic than the last, Yui's life as a captive takes a harrowing turn in her new home. As her days turn into endless nights, and each brother vows to make her his own, Yui falls deeper and deeper into madness and ecstasy. 
 
[Written by MAL Rewrite]","Harem, School, Shoujo, Vampire"
18849,Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,"A new original animated story included on a bonus mail-order DVD eligible for readers of LaLa's August, October and September 2013 issues.  It was later aired as a special in the broadcast schedule of Natsume Yuujinchou Go on the 16.November 2016. 
","Slice of Life, Demons, Supernatural, Drama, Shoujo"
38099,Pakkororin,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",Kids
36086,Toyoichi,Official music video for Lai Lai Lai Team's song  Toyoichi  which was included on the album of the same name. ,Music
36934,Captain Tsubasa (2018),"Captain Tsubasa is the passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing football at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession.  
 
In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd. 
 
He encounters not only rivals, but also new friends like the pretty girl Sanae Nakazawa and the talented goalkeeper, Genzo Wakabayashi, who shares the same passion as Tsubasa, and will prove to be a treasured friend in helping him push towards his dreams. Representing Japan in the FIFA World Cup is Tsubasa’s ultimate dream, but it will take a lot more than talent to reach it. ","Action, Sports, Shounen"
13171,Wasurenagumo,"Legend says that centuries ago, a colossal spider ravaged Tokyo. Resistance was futile, as none could quell the havoc wrought upon the city by the beast. Fortunately, one man—the legendary exorcist—stopped the devastation. Using his divine powers, he sealed the monster away and the world has enjoyed peace ever since.  
 
Mizuki Henmi is an adolescent girl who is acquainted with Shu Suzuri, a dull young man who runs an old Japanese bookstore. During a routine visit to his store, Mizuki learns of a mysterious and valuable book that Shu is planning to sell. Unfortunately, the unrestrained Mizuki handles the book roughly, breaking the seal that kept it shut and revealing an odd entity—a cute spider.  
 
 Wasurenagumo  tells the story of Mizuki, Shu, and their seemingly harmless spider. However, ominous winds begin blowing. While Shu is infatued with his arachnid friend, Mizuki becomes wary of its every move… 
 
[Written by MAL Rewrite] 
","Comedy, Supernatural"
34990,Unicorn no Kyupi,"Unicorn no Kyupi is a helpful sprite that lives in the kitchen and polishes dirty pots and pans clean with its fluffy white body. Harigorou, a rival sprite shaped like a hedgehog, tries to interfere.  
 
(Source: Crunchyroll)","Fantasy, Kids"
32583,Sense Honma ni Honma,"A music video for the song ""Sense Honma ni Honma"" by Osaka Sumiyoshi Boys & Girls Chorus. Aired as part of NHK's Minna no Uta program. ","Music, Kids, School"
2167,Clannad,"Tomoya Okazaki is a delinquent who finds life dull and believes he'll never amount to anything. Along with his friend Youhei Sunohara, he skips school and plans to waste his high school days away. 
 
One day while walking to school, Tomoya passes a young girl muttering quietly to herself. Without warning she exclaims ""Anpan!"" (a popular Japanese food) which catches Tomoya's attention. He soon discovers the girl's name is Nagisa Furukawa and that she exclaims things she likes in order to motivate herself. Nagisa claims they are now friends, but Tomoya walks away passing the encounter off as nothing. 
 
However, Tomoya finds he is noticing Nagisa more and more around school. Eventually he concedes and befriends her. Tomoya learns Nagisa has been held back a year due to a severe illness and that her dream is to revive the school's drama club. Claiming he has nothing better to do, he decides to help her achieve this goal along with the help of four other girls. 
 
As Tomoya spends more time with the girls, he learns more about them and their problems. As he attempts to help each girl overcome her respective obstacle, he begins to realize life isn't as dull as he once thought. 
 
[Written by MAL Rewrite]","Comedy, Drama, Romance, School, Slice of Life, Supernatural"
2994,Death Note: Rewrite,"1. Genshisuru Kami (Visions of a God) 
A two hour episode of Death Note, mainly a compilation of the confrontations between Light and L, re-edited from Ryuk's perspective with new dialogue and soundtrack along with additional animation that could not be included in the original series.  An Unnamed Shinigami comes to Ryuk to question him about his new story in the human world. 
 
2. L o Tsugu Mono (L's Successors) 
This story continues where the previous left off, continuing the story of Light. As the previous special told Light and L's battles, this story does the same with the conflicts between Light, Mello, and Near.   
 
(Source: Wikipedia)","Mystery, Police, Psychological, Supernatural, Thriller"
18479,Bishoujo Animerama: Minami no Watashi no Heart ni Tacchi Shite...,A mix of animation and live-action. ,"Hentai, Romance"
9023,Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,"KHR: Mr. Rebokku no Ciao Ciao Interview is set of 3 DVD specials in which, Reborn, dressed as host interviews various characters selected by a wheel. 
 
Episode #1 
Features Reborn as Host, and Tsunayoshi, Gokudera and Xanxus as guests. 
 
Episode #2 
Features Reborn as Host, and Hibari, Belphegor and Dino as guests. 
 
Episode #3 
Features Reborn as Host, and, differently than before, four characters which are Byakuran, Mukuro, Squalo and Yamamoto. 
 
[Written by Katekyo Hitman Reborn! FC] ",Comedy
27631,God Eater,"The year is 2071. Humanity has been pushed to the brink of extinction following the emergence of man-eating monsters called ""Aragami"" that boast an immunity to conventional weaponry. They ravaged the land, consuming almost everything in their path and leaving nothing in their wake. To combat them, an organization named Fenrir was formed as a last-ditch effort to save humanity through the use of ""God Eaters""—special humans infused with Oracle cells, allowing them to wield the God Arc, the only known weapon capable of killing an Aragami. One such God Eater is Lenka Utsugi, a New-Type whose God Arc takes the form of both blade and gun. 
 
Now, as one of Fenrir's greatest weapons, Lenka must master his God Arc if he is to fulfill his desire of wiping out the Aragami once and for all. The monsters continue to be born en masse while the remnants of humanity struggle to survive the night. Only God Eaters stand between the Aragami and complete and total annihilation of the human race. 
 
[Written by MAL Rewrite]","Action, Fantasy, Military, Sci-Fi"
1678,Cyborg 009: The Cyborg Soldier,"Skull, the evil leader of the terrorist organization known as Black Ghost, has nine powerful cyborgs under his control. But Dr. Isaac Gilmore, the Black Ghosts cybernetics scientist, decides to go rogue, helping the cyborgs turn against Skull and his evil organization. 
 
Black Ghost wishes to start the next major world war by flooding the market with weapons of mass destruction. It seems the nine brave cyborgs have their work cut out for them, as Black Ghost is determined to bring those nine cyborgs down.","Action, Sci-Fi, Adventure, Mecha, Shounen"
30200,Piyo no Ongaeshi,A music video for the song by Junko Iwao that was featured on NHK's Minna no Uta Program. ,"Kids, Music"
17501,Abe George Kattobi Seishun Ki: Shibuya Honky Tonk,"This story is based on one of the famous Japanese writers ""George Abe""'s troubled boyhood. Although he was born in wealthy family, he starts keeping company with yakuza...","Ecchi, Drama"
38963,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,Special Picture Drama episode included on the Anohana Fes. Memorial DVD/Blu-ray Box,"Comedy, Drama"
20951,DPR Special Movie,An anime made for JAXA (Japan Aerospace Exploration Agency) and NASA (National Aeronautics and Space Administration) that promotes the GPM/DPR (Global Precipitation Measurement/Dual-frequency Precipitation Radar) space mission.,"Slice of Life, Space"
3889,Junk Boy,"23-year-old Ryohei Yamazaki has just one thing on his mind: sex. And with his sweet-talking, honey-voiced ways, Ryohei has no trouble finding interested ladies. But none of them is just what he wants... none of them is PERFECT. Then he charms the beautiful editor of a hot magazine into hiring him. Journalism will never be the same again... 
 
(Source: Rotten Tomatoes)","Comedy, Romance, Ecchi"
191,Love Hina Christmas Special: Silent Eve,"As another round of preliminary tests approach for Keitaro, so does Christmas. And as the first Christmas of the millenium, there is a rumor that if one confesses his love on this special eve it will come true. Keitaro has decided what he needs to do on this Christmas eve, but being a retaker can he afford taking attention away from the tests on the same day... 
 
The Winter has begun in Hinata. X-mas is coming up. There are rumors about this special christmas eve: If someone is going to confess his love on this christmas eve, any wish will come true. Keitaro decides to confess his love to Naru. But he isn't the only one confessing on this christmas eve... 
 
(Source: ANN)","Slice of Life, Comedy, Romance"
2551,Nessa no Wakusei,"Kate, the voluptuous, virginal new recruit of the Federal Space Army Security Police, is the newest detective in the force. She's eager to prove her worth as an undercover agent, but that might not be as easy as she thinks. Her first assignment is to track down the villains who have been raping young women from the hot desert planet, Doune. 
 
(Source: ANN)","Hentai, Sci-Fi"
34642,Shingeki no Bahamut: Genesis - Short Story,"The first short story focuses on Favaro and Kaiser between the events of the first and second series as they visit Favaro's home village.  
 
The second short story shows Kaiser as a knight commander sparring with Jeanne, and sharing the reasons they remained as Orleans Knights in the aftermath of the final battle against Bahamut.","Action, Adventure, Demons, Supernatural, Magic, Fantasy"
36964,Bonobono: Uchuu kara Kita Tomodachi,"A planetarium film for Bonobono screened on a full dome. Bonobono meets and alient hat looks just like him, together with everyone they go to space and explore the planets and stars. 
 
The film was first screened at the Shinagawa Gotanda Cultural Center Planetarium.","Adventure, Comedy, Kids"
