Anime_Id,Anime_Title,Anime_Synopsis,Anime_Genre
30385,Valkyrie Drive: Mermaid,"Naïve 16-year-old Mamori Tokonome is accustomed to being teased at school for having an unfortunate surname that can also be read as ""virgin."" However, young Mamori will soon have to get used to being teased in other ways... 
 
Kidnapped during gym class, Mamori wakes up only to find herself stranded and under attack on the exotic island of Mermaid. Luckily, enigmatic fellow castaway Mirei Shikishima knows exactly how to take the lead—through a passionate kiss, Mirei unleashes Mamori's Exter transformation abilities, turning the innocent red-head into a battle-ready cutlass through the power of arousal. 
 
The duo will need to tap into that power as Mermaid Island is full of potential friends and foes: Charlotte, the sadistic Liberator of an Exter harem; the gluttonous and crafty Meifon; the mysterious but charismatic Akira Hiiragi; and the erotic biker duo Lady Lady. Mamori and Mirei's powerful and intimate embrace is the only way for the pair to ensure their survival on this scandalous island. 
 
[Written by MAL Rewrite]","Action, Ecchi, Fantasy, Shoujo Ai"
20201,Easy Cooking Animation: Seishun no Shokutaku,"Something like cooking contests in anime form. Approximately three minutes long per episode, in each story there is an evaluation judgement about preparing home food. The preparation is described as humorously as possible. Funny wordplays are often mentioned several times in a consequence and are particularly salient but are repeated in a merry way. 
 
(Source: AniDB)",Comedy
5234,Zettai Yareru Greece Shinwa,"Comedy show based on Greek myths about how perverted the gods are. 
","Comedy, Ecchi"
40716,Kakushigoto (TV),"""We will open the curtain back in time, to the story of one lone manga creator."" 
 
This story is about Gotou Kakushi, an artist who draws a somewhat vulgar manga, and tries to hide it for the sake of his daughter, Hime. A father-daughter tale of love and laughter.  
 
(Source: MU, edited)","Slice of Life, Comedy, Shounen"
22535,Kiseijuu: Sei no Kakuritsu,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey. 
  
Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species. 
 
[Written by MAL Rewrite]","Action, Sci-Fi, Horror, Psychological, Drama, Seinen"
23303,Hiroshima e no Tabi,"To spend the summer vacation, junior high school student, Kazuki rides a bullet train to Hiroshima to stay with his aunt. Arriving in Hiroshima, his aunt  narrates the tragic past of what happened the day  the atomic bomb fell. From the aunt who had to overcome a lot of hardships, he learns the value of peace and to have the courage to lose.","Drama, Historical, Slice of Life"
23341,Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka!,Special introduction videos posted on the official website.,"Magic, Comedy"
21863,Mangaka-san to Assistant-san to The Animation,"The story depicts the work-life of a perverted mangaka, Aito Yuuki, and his assistant, Ashisu Sahoto. Constantly pressured by his editor and lacking experience with girls, Aito asks Ashisu to act as a reference. 
 
(Source: AniDB)","Comedy, Ecchi, Harem, Seinen, Slice of Life"
29181,Henna Ie!,"Music video featured on NHK's Minna no Uta program. 
","Music, Kids"
1661,Cutey Honey,"One day, Honey Kisaragi's a trendy, class-cutting Catholic schoolgirl. The next, her father's been murdered by demonic divas from a dastardly organization called Panther Claw. When his dying message reveals that she's an android, Honey uses the transformative power of the Atmospheric Element Solidifier - the very thing Panther Claw wanted to steal - to seek revenge against the shadowy clan. Can Honey fight her way up Panther Claw's ranks to defeat its leader, the sinister Sister Jill while managing to escape the watchful eyes of Miss Histler, her school's headmistress? 
 
Aided by journalist Hayami Seiji, his ninja father, and his lady-loving grade school brother, Honey sometimes appears as a racecar driver, sometimes as a glamorous model, and sometimes as a beggar, but her true identity is none other than the warrior of love, Cutie Honey! 
 
(Source: RightStuf)","Action, Sci-Fi, School"
3816,Idol Fight Suchie-Pai 2,"Once every century, the legendary mahjong dials called the ""Legendary Pai"" show themselves to the world, and if you collect them all it will grant you any wish. They show up in the form of evil monsters and you must defeat all 10 to obtain this chance. So, a Bunny Alien, A Maid-Dominatrix, A Cyborg, A girl form the world of magic and a transforming super hero all must fight these monsters along with themselves to grant the wish that they want to come true.","Action, Ecchi"
2057,Ojousama Sousamou,"Debutante Detective Corps begins with introductions to the five main characters, Miyuki, Reika, Youko, Nina, and Kimiko. It seems these five girls are incredibly rich and have been sent a threatening video tape by forces unknown. A police guard is set up at the school where the girls have enrolled. Kimiko, however, doesn't like the idea of being cooped up at school, and convinces the rest of the girls to trick the police into leaving. No sooner are the police gone, however, then the girls are assaulted by three armed terrorists. What ensues is a rather silly escapade with our heroines attempting to thwart their attackers.  
 
(Source: ANN)","Action, Comedy, Mystery, Police"
1105,Digital Juice,"A series of short animations that show different worlds and different characters. These episodes are designed to take the viewer into a psychological world of fantasy and mystery. 
 
(Source: ANN)","Comedy, Psychological"
36055,Ashita Aou ne,"Three best friends play as much as they can, right up until the sun sets, and vow to meet again tomorrow for more fun.","Music, Kids"
21513,Imako System,Based on the adult manga by Midori no Ruupe.,Hentai
34907,Through the Windows,"The gaze of a woman from a window to windows leads to a recollection of the various scenes. The metamorphosed windows transfer, expand, reflect, conserve, and sometimes shine like a lighthouse.",Kids
35026,Yuukai Tsuresari ni Awanai,An OVA series educating kids on how to protect themselves against kidnappers.  Yuukai Tsuresari ni Awanai  is aimed at infants and lower elementary schoolers. ,"Kids, Drama"
23385,Kyoukai no Kanata: Shinonome,"Taking place three years before the TV series, episode zero follows Hiroomi Nase's mission to subdue the infamous half-human, half-youmu Akihito Kanbara. Curious about the mission, Hiroomi's little sister, Mitsuki, tags along with him, and the siblings meet Akihito for the first time. However, they soon discover that they aren't the only ones seeking out Akihito, and thus begins the story of  Kyoukai no Kanata . 
 
[Written by MAL Rewrite] 
","Fantasy, Slice of Life, Supernatural"
39690,Mousou Teikoku Chikuonki,"Music video directed by Kousuke Sugimoto for the single  Mousou Teikoku Chikuonki  by Eri Kitamura. The limited edition version included a DVD with this music video, a making-of, and a short version that was released on the Teichiku Records YouTube channel in December of 2017 to promote the single.","Dementia, Music"
17745,Kakushi Dere,"Nonoka goes out of her way to make a written confession to the older brother of one of her classmates, but he doesn't even read the letters. This prompts her to stop by in person, and express her ""hate"" for him through various antics...",Hentai
22777,Dragon Ball Kai (2014),Remastered version of the Majin Buu saga that adheres more to the manga's story.,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
22711,Wazaguu! vs. Dangerous Jiisan Ja: Houfukuzettou! Anime Quiz,A crossover OVA featuring Wazabo Saishuushou: Wazaguu! and Dangerous Jiisan Ja.,"Kids, Comedy"
3603,JoJo no Kimyou na Bouken: Phantom Blood,"An adaptation of the original five volume arc of the popular JoJo's Bizarre Adventure manga, covering the Phantom Blood chapters. Jonathan Joestar is an aristocratic boy whose life is suddenly turned upside down by a mysterious new boy who arrives, Dio Brando. Dio has a connection to his father, and over time, a rivalry forms as Dio becomes obsessed with a mysterious, ancient, and mystical stone mask that Jonathan's father keeps. ","Action, Adventure, Horror, Shounen, Vampire"
35107,Shin Ninja Tamamaru,The second season of  Ninja Tamamaru .,"Kids, Martial Arts"
19533,Fujiko Fujio A no Mumako,Based on the horror novel by Fujio (A) Fujiko.,"Horror, Supernatural"
37604,So Long!,Official music video fro AKB48's song  So Long! .,Music
38307,Sokkuri House,A little girl looks into a doll house that's exactly like the house she's in currently including the dolls in side it.,"Kids, Music"
23753,Kishin Houkou Demonbane (TV) Specials,"Daijuuji Kurou and Al, Master Therion and Etheldreda continue to fight beyond the time again and again over the infinite just as Ouroboros... 
","Magic, Mecha, Sci-Fi, Supernatural"
27915,Captain,"Before Captain became a TV series it was a one-shot TV special that garnered the highest ratings of any anime that month. For its re-run on August 20th, 30 minutes of new content was added in which brought in more ratings that trumped the previous statistic.","Sports, Shounen"
30524,Kagewani,"A video blogger attempts to fake cryptid sightings to boost his views, but gets more than he bargained for when his crew is slaughtered by a real monster. Elsewhere, students find themselves preyed upon by a sandworm-like beast, initiating a desperate struggle for survival on their own school grounds. 
 
With more of these attacks from mysterious creatures occurring, researcher Sousuke Banba tasks himself with delving into the mystery. With nothing but the keyword ""Kagewani"" to lead him, he scours the sites of recent attacks in hopes of finding a lead to eradicating the creatures for good. However, Sousuke finds that these threats to humanity are even closer to home when the pharmaceutical company, Sarugaku, starts to encroach on his investigation. 
 
[Written by MAL Rewrite]","Horror, Mystery, Supernatural, Thriller"
16560,Hwanggeum Nalgae 1.2.3.,"Released in Korea in 1978, Gold Wing 123, or Golden Wing 123, is an animated sci-fi superhero feature from Kim Cheong Ki, who also directed the classic Robot Taekwon V (1976) and created the popular Wuroemae series. Like Robot Taekwon V, Gold Wing 123 draws from Japanese genre themes and character designs to create Korea's very own world-saving transforming superhero, a young man who attains super powers and is tasked to defend earth from the evil plans of a galactic conqueror.  
 
(Source: YesAsia)","Action, Mecha, Sci-Fi"
1841,Dai Mahou Touge Omake,Omake (extra) of Dai Mahou Touge.,Comedy
1473,City Hunter '91,"Ryo Saeba is back as the City Hunter, a ""sweeper"" (private detective) working on the streets of Tokyo. He and sidekick Kaori Makimura are hired to solve the problems of desperate people. When Ryo is not using his sharp shooting skills against bad guys, he's aiming his sites on pretty ladies. Kaori uses a giant anti-ecchi hammer to make sure he behaves.  
 
(Source: ANN)","Action, Comedy, Mystery, Shounen"
445,Tales of Eternia The Animation,"In order to prevent the catastrophe called the Grand Fall, Rid Hershel and his companions Farah, Keel and Meredy have obtained the three Greater Spirits (""Craymels"" in the game version) of Inferia. En route to Mount Farlos, Rid is kidnapped by the bounty hunter Marone Blucarno, and the party is compelled to head to Belcarnu, an archipelago far from the major cities of Inferia. A series of adventures forces them to remain on the islands, where a more immediate threat to Inferia sleeps. 
 
(Source: ANN)","Adventure, Comedy, Romance, Fantasy"
9087,"Mobile Suit SD Gundam Musha, Knight, Commando","The first episode, Musha, Knight, Commando: SD Gundam Emergency Sortie, features the three Gundams and a young girl named Riplin joining together to fight evil. 
 
The second episode, Dawn of Papal, Episode 103: Suginamu's Bride, stars Artesia in a fantasy-themed adventure.","Action, Comedy, Parody, Fantasy, Mecha"
23819,Onimaru: Senjou ni Kakeru Itsutsu no Seishun,"During the Onin wars in Japan's medieval Muromachi era, five powerful warriors hire out their services to the highest bidder. Onimaru is the leader; Bo handles demolitions; Saru is as agile as a monkey; Osamu is a cool tactician; and Kiri is the sexy swordswoman. The group gains an extra member when Onimaru rescues Princess Aya who naturally falls in love with him and refuses to go away. 
 
(Source: The Anime Encyclopedia)","Action, Adventure"
1214,Binbou Shimai Monogatari,"The Yamada sisters, Kyou (15) and Asu (9), are students studying in secondary and primary schools respectively. Their mother passed away and their father ran away after incurring gambling debts. Despite the difficult circumstances, both of them decide to overcome the unhappiness and welcome their days with enthusiasm and pride. Fortunately, with the change in the law system several years ago, Kyou is able to study and simultaneously take temporary jobs (such as distributing newspapers and tutoring) to make ends meet. On the other hand, Asu takes charge of household chores, prepares meals, and manages the finances to assist her older sister. Surrounding them are also good and kind neighbors such as the novelist, Saegusa-san, and the aunt at the public bath who watch over them. Although life is difficult and at times painful, the sisters are happy to have each other. 
 
(Source: ANN)","Slice of Life, Comedy, Drama, Seinen"
20857,Nebula feat. Hatsune Miku,"Music video for the song ""Nebula"" by tripshots.",Music
27949,Mattsu to Yanma to Moburi-san: Nanatsu no Hihou to Soratobu Oshiro,"Mattsu and Yamma are two boys who live in Matsuyama. Their favourite pastime is looking for ""the seven wonders of Matsuyama"". 
 
One day, two men appear. What are the 7 hidden gems that they seek? 
 
Moburi, a high school girl who is like an older sister to the boys, also gets caught up in the adventure as this thriling story set in Matsuyama begins. 
 
Faced with all kinds of trouble, what will they choose for the future of their city?  
 
(Source: Official Site)","Magic, Fantasy"
10741,Jingi,,"Adventure, Police, Drama"
824,Guardian Hearts,"Maya, Kurusu, and Chelsea hit it off really well when trying to get revenge on Guardian Hearts for making them suffer. Maya and company thought that Guardian Hearts usually appears when Kazuya is getting along with a girl. Not knowing that Guardian Hearts is actually Hina, they leave her alone with Kazuya in an attempt to lure Guardian Hearts. 
 
(Source: AniDB)","Comedy, Ecchi, Magic, Romance, School"
36157,Gokiburi Taisou,Female humanoid cockroaches do calisthenics (though resembling normal dancing more).,"Dementia, Music, Sports"
589,Ginga Nagareboshi Gin,"Gin is a silver Tora-ge named after his coat color. Shortly after being born, he watches his father, Riki, get killed by Akakabuto, a bear that terrorizes everything in his path. Being the third-generation of bear-dogs to try to stand up against Akakabuto, he ventures out to find dogs to join him in his fight.  
","Action, Adventure, Drama, Shounen"
21891,Natsumi Step!,"A story about an adorable girl who travels to an effervescent fantasy land. 
 
But things are not what it seems.",Music
37688,Ousama no Takaramono,A bird steals a king's treasure and becomes upset. A boy helps the kind feel better and he realizes that his greatest treasure is his friends and family rather than gold and jewels.,"Kids, Music"
39583,number24,"Natsusa Yuzuki entered university expecting to be the rugby club's ace, but he can no longer play rugby due to certain circumstances. Ibuki Ueoka is a senior who also quit playing rugby. There is also Yasunari Tsuru, Natsusa's junior who finds him disagreeable. On the other hand, another junior, Yuu Mashiro looks up to Natsusa and follows in his footsteps. Last, there is Seiichirou Shingyouji, Natsusa's childhood best friend. This is an original rugby anime of former teammates who fight together in matches of Kansai's university rugby league. 
 
(Source: MAL News)","Sports, School"
36864,Akkun to Kanojo,"Despite his incredible bashfulness, Atsuhiro ""Akkun"" Kagari has landed the girl of his dreams: the sweet and loveable Non Katagiri. However, his embarrassment for affectionate acts—from giving compliments to exchanging a kiss—causes him to act harsh and downright mean to Katagiri in their day-to-day lives. But Akkun is still very much a boy in love; and he shows his admiration for Katagiri in his own way. From tailing her in order to take her picture to eavesdropping in on her conversations, he ends up stalking his own girlfriend.  
 
Luckily enough, Katagiri finds Akkun's actions cute and endearing, and knows he doesn't really mean any of his insults. Even if their close friend, Masago Matsuo, finds their dynamic a little odd, Katagiri loves her sweet tyrant just the way he is. 
 
[Written by MAL Rewrite] 
","Comedy, Josei, Romance, School"
40499,Feed,"Four housekeepers package and prepare meals for children. The children feed the livestock, which are to be used for their meals. This repeats the cycle.","Dementia, Music"
23187,Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,,Comedy
3375,Kirepapa.,"Chisato is a beautiful 35-year-old writer, who looks like 18, and the father of Riju, a cute 15-year-old boy. Chisato's hobby is to drive away all of Riju's friends because he thinks they want to corrupt his precious child, so he shows his good side to these boys while he poisons the cake he brings them with a smile; however, there is one guy, Shunsuke, who doesn't fall for the tricks. But is Shunsuke really aiming for Riju? Who is that mysterious writer Chisato loves so much? And why is Chisato convinced that Riju's friends want to take advantage of him? 
 
(Source: Evil Empire)","Comedy, Drama, Romance, Yaoi"
32473,Kabocha no Oji-san,"A music video for the song ""Kabocha no Oji-san"" by Tetsuo Miyoshi. Aired as part of NHK's Minna no Uta program.","Music, Kids"
32276,Nar Doma Manner Movie,"A short manner movie that aired at 109 Cinemas from November 1 to November 30, 2015 before films.",Comedy
1186,Battle Athletess Daiundoukai (TV),"Akari Kanzaki has just joined an all-girls academy in hopes of entering the University Satellite, an elite sports training facility. She wants to win the title of Cosmo Beauty - a title held years ago by her mother. It's not an easy task for her as fear, doubt and peer pressure get in her way, but friends, rivals and fans slowly encourage her to overcome her obstacles and become the best of the Battle Athletes.  
 
(Source: ANN)","Action, Sci-Fi, Adventure, Comedy, Sports, Drama, School, Shounen"
1540,"Touch: Miss Lonely Yesterday - Are kara, Kimi wa...","Unsure of Tatsuya's feelings, Minami ponders.","Romance, Shounen, Sports"
7505,Knyacki!,"Two caterpillars investigate objects on a kitchen counter while searching for food. One of them finds a piece of pasta and is intrigued by the fact that there's a hole in the middle. 
 
They are having fun until a big mean caterpillar arrives. It's time for a major show down...","Comedy, Kids, Drama, Fantasy"
1106,Eikyuu Kazoku,"It started as a sociological experiment. Six different people were brainwashed to think that they were a family and then put in arbitrary situations to see how they would react; however, when a taping of the families conducts is sold in a desperate attempt to make a little capital, it instantly becomes a success. Now the family is a first rated show and their every move is broadcasted around the world without them knowing it. But when a clogged toilet sets off a chain of events that ultimately frees the family from the room they are confined in the broadcasters, not willing to lose their source of income, set out to hunt down and recapture every member of the Eternal family. 
 
(Source: ANN)","Psychological, Comedy"
8345,Ukkari Pénélope,"Meet Penelope, the absent-minded young koala. Rarely seen without Deudeu – her favourite stuffed rabbit – Penelope likes nothing more than finding another adventure in the most unlikely of places. A simple gust of wind blowing her hat away can lead to Penelope running her own stall atop a tree stump where she trades flowers for apples, and paper planes for acorns. From games of hide and seek with her friends, to playing with the bubbles in the bath or counting sheep during nap time, Penelope’s life is never dull – even if she does wear odd socks when she gets herself dressed in the morning. 
 
(Source: Anime-Planet)","Comedy, Slice of Life"
8959,Nanchatte!,A satire gag story about politics for adults.,"Parody, Comedy"
4803,Kawarazaki-ke no Ichizoku 2,"The continuation of the first OVAs, just with a little twists in the main story line, but it refains the same as the first one.  
 
(Source: ANN) ",Hentai
1094,One Piece: Umi no Heso no Daibouken-hen,"The Straw Hats encounter a city in the middle of a whirlpool, called the Ocean's Navel, that is being destroyed by giant monsters. These monsters supposedly protect a treasure capable of granting wishes, but in the process of defeating these guardians, the crew ends up releasing another evil.  (aired after Episode 53) 
 
(Source: Wikipedia)","Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
39815,More feat. Anderson .Paak,"Music video directed by Shinichiro Watanabe for the single  More (feat. Anderson .Paak)  by American record producer Flying Lotus (Steven Ellison). It is featured on his sixth studio album ""Flamagra."" Flying Lotus and Shinichiro Watanabe's creative kinship was cultivated while working on Blade Runner: Black Out 2022, and the mutual respect led them to collaborating on this video. 
",Music
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,"All eyes are on Utena Tenjou, a mysterious transfer student to Ohtori Academy. But Utena's eyes seem to be fixed on one familiar face that stands out among the rest—Touga Kiryuu, Utena's childhood friend. Touga knows of Utena's past and possesses knowledge of the Mark of the Rose, a set of unique rings worn by those who compete for the hand of the Rose Bride. The Rose Bride, Himemiya Anthy, belongs to whomever wins her in a duel, and the one that wins all the duels is said to be given the power to bring revolution to the world. Utena is drawn into the duels, but Touga and their complicated history together may end up unraveling everything. Nothing is as it seems in this retelling of the original anime series. 
 
[Written by MAL Rewrite]","Dementia, Drama, Fantasy, Romance, Shoujo, Shoujo Ai"
4473,Shoujo Sect,"There were once two young girls who met on a playground. They shared a kiss before separating for ten years. One fell in love with the other from that day forward. The other grew up and forgot. 
 
Nowadays, Shinobu and Momoko attend the same girls' school. They are polar opposites: Momoko enforces decency and order as part of the disciplinary committee, while the delinquent Shinobu collects lovers and failing grades alike. But Shinobu has never truly forgotten the afternoon she and Momoko shared as children. As they and their friends navigate the challenges of schoolwork and schoolgirl crushes, they begin to rediscover their feelings for each other.","Comedy, Romance, Hentai, Yuri"
9441,Yume-iro Pâtissière SP Professional,"Upon her return to Japan after a two year study break in Paris, Ichigo Amano is met with news of Team Ichigo's separation, as each of the Sweets Princes takes a different path toward their dream. Now in her first year of high school, Henri Lucas has a project in store for her, enlisting the help of Ichigo, Makoto Kashino, and new members Lemon Yamagishi and Johnny McBeal to give rise to a new Team Ichigo. As the four work together on this project, Ichigo and Makoto continue to grow closer, though Johnny and the unrelenting Miya Koshiro will not idly sit by; with Johnny's eye on Ichigo and Miya still after Makoto, it definitely seems like love won't come easily. 
 
With Ichigo's time at St. Marie Academy, she is now ever closer to her dream of starting her very own pâtisserie. However, she will soon realize that it takes more than just making delicious sweets to open up a shop. 
 
[Written by MAL Rewrite]","Slice of Life, Shoujo"
37037,"Animegataris: Yuku Toshi, Kuru Toshi","Special short episode of  Animegataris  streamed on Niconico-douga. 
",Comedy
4742,Papa to Odorou,"Imagine two irresponsible siblings (Fuko and Yoshiharu) living under the care of an equally or more irresponsible father (Amachi). Then add some bizarre stuff, like cobras, bad jokes, adult videos, seductive grannies, farting, stupid remarks and insults, terribly foul language, and a nonsensical plethora of strange happenings... 
 
(Source: ANN)",Comedy
18919,The Midnight★Animal,"The story is set in Savannah's 2nd district, where diva-like animals gather in the dead of night to wax poetic about topics that transcend gender. 
 
(Source: ANN)","Action, Supernatural, Seinen"
2903,Sakigake!! Otokojuku,"Otokojuku: a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through feudal and military fundamentals. Similar to an action film, the classes are overwhelmed by violence. Only those who survive it become true men. 
 
(Source: ANN)","Action, Comedy, Martial Arts, School, Shounen"
40105,Superfluid,"Short film by Kojirou Shishido originally released in 2007. A 4K version of the film was uploaded to his YouTube channel November 14, 2018.",Music
37553,Bytheway Dance,"A full version of the theme song  Bytheway Dance  from the  Inazma Delivery  franchise posted on the official YouTube channel. Previously only a few seconds of the song and dance were used as the OP of  Tutorial no Toku Dane Fuku Kitaru♪ , the music variety program that the  Inazma Delivery  anime aired within. The posting was made in honor of the 2nd season completing its televised airing.",Music
33925,Hua Jiang Hu Zhi Bu Liang Ren 2nd Season,The continuation of  Hua Jiang Hu Zhi Bu Liang Ren .,"Adventure, Historical, Drama, Romance, Martial Arts"
24875,Barnacle Lou,"A lovely story of a little seagull Lou who thinks of himself as a barnacle. 
 
(Source: Olive Studio)",Kids
27721,Kasumin,"Haruno Kasumi is a fourth-grader. Her parents are zoologists who went over to Africa to carry out their research studies. In order to see off her parents, Kasumi arrived at Kasumi Town. In the middle of the town lies an enormous mansion surrounded by the forest. The mansion belongs to the Kasumi household, the family in which Kasumi will be lodging in and taken care of. There is a mysterious aura about the mansion and Kasumi discovers a series of talking appliances. The Kasumi family refers to these creatures as ""Henamon"". In return for living in with the family, Kasumi will be helping out with the household chores such as cooking and washing. Surrounded by various interesting characters, Kasumi begins a new chapter in her life. 
 
(Source: ANN)","Fantasy, Kids"
15989,Saki Achiga-hen: Episode of Side-A Specials,The final 4 episodes of Saki: Achiga-hen - Episode of Side-A.,"Game, Slice of Life, School"
75,Soukyuu no Fafner: Dead Aggressor,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind. 
 
(Source: ANN)","Action, Drama, Mecha, Military, Sci-Fi"
361,Memories Off,"Tomoya Mikami's life changed one day when his girlfriend Ayaka was hit by a car and killed on her way to meet Tomoya. He blamed himself for her death and never was the same after the accident. He began acting callously towards Yue and his other friends. Furthermore, every time Tomoya gets involved with a new girl, he sees images of Ayaka in his dreams. He decides he needs to find a way to say goodbye to his lost love once and for all, while dealing with several side romances at the same time. 
 
(Source: ANN)","Romance, Drama"
36588,Luo Xiao Hei Zhan Ji: Fan Wai,"Specials of  Luo Xiao Hei Zhan Ji  that have new animation but do not have a standard episode number. 
 
First is with students cheating on their final exam, it aired between CAT.2 and CAT.3. 
Second is CAT8.5, an official parody episode. 
Third is a music video that aired between CAT.10 and CAT.11. 
Fourth is a music video that aired between CAT.24 and CAT.25. ","Comedy, Music, Parody, School"
11033,"Natsu-iro Egao de 1, 2, Jump!","Third single for the anime-idol group, µ's!",Music
39701,Nanatsu no Taizai: Kamigami no Gekirin,New season of  Nanatsu no Taizai .,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
